Id,Time[ns],Parallel: Items
409,6762960.00000000000000000000,B4
410,6766110.00000000000000000000,37
411,6766120.00000000000000000000,03
412,6769260.00000000000000000000,B7
413,6772420.00000000000000000000,7D
414,6772430.00000000000000000000,5D
415,6775580.00000000000000000000,DC
416,6775590.00000000000000000000,D4
417,6778730.00000000000000000000,77
418,6781890.00000000000000000000,FE
419,6781900.00000000000000000000,FA
420,6785040.00000000000000000000,FF
421,6785050.00000000000000000000,5D
422,6785060.00000000000000000000,05
423,6788200.00000000000000000000,D4
424,6791360.00000000000000000000,9C
425,6791370.00000000000000000000,98
426,6794510.00000000000000000000,9A
427,6794520.00000000000000000000,1A
428,6797670.00000000000000000000,3B
429,6797680.00000000000000000000,2B
430,6800820.00000000000000000000,7B
431,6800830.00000000000000000000,7C
432,6800840.00000000000000000000,54
433,6803980.00000000000000000000,FE
434,6804000.00000000000000000000,BE
435,6807140.00000000000000000000,3C
436,6807150.00000000000000000000,04
437,6810290.00000000000000000000,7C
438,6810300.00000000000000000000,78
439,6813450.00000000000000000000,F3
440,6813460.00000000000000000000,D3
441,6816600.00000000000000000000,F3
442,6816610.00000000000000000000,7F
443,6819770.00000000000000000000,07
444,6822920.00000000000000000000,16
445,6826070.00000000000000000000,1E
446,6826080.00000000000000000000,8D
447,6829230.00000000000000000000,8F
448,6829240.00000000000000000000,06
449,6832390.00000000000000000000,55
450,6832400.00000000000000000000,51
451,6835540.00000000000000000000,C7
452,6835550.00000000000000000000,C6
453,6838700.00000000000000000000,6D
454,6841860.00000000000000000000,6C
455,6845010.00000000000000000000,FE
456,6845020.00000000000000000000,9A
457,6848170.00000000000000000000,3E
458,6848180.00000000000000000000,36
459,6851330.00000000000000000000,26
460,6854480.00000000000000000000,CD
461,6857640.00000000000000000000,ED
462,6857650.00000000000000000000,E9
463,6860790.00000000000000000000,F9
464,6860800.00000000000000000000,39
465,6860810.00000000000000000000,19
466,6863950.00000000000000000000,18
467,6863960.00000000000000000000,00
468,6867100.00000000000000000000,30
469,6867110.00000000000000000000,BD
470,6870260.00000000000000000000,EF
471,6870270.00000000000000000000,FE
472,6870280.00000000000000000000,EE
473,6873420.00000000000000000000,6D
474,6873430.00000000000000000000,29
475,6876570.00000000000000000000,6F
476,6876580.00000000000000000000,EF
477,6876590.00000000000000000000,C7
478,6879740.00000000000000000000,86
479,6882890.00000000000000000000,96
480,6886040.00000000000000000000,B7
481,6886050.00000000000000000000,37
482,6889200.00000000000000000000,74
483,6889210.00000000000000000000,60
484,6892350.00000000000000000000,70
485,6892360.00000000000000000000,B9
486,6895510.00000000000000000000,BD
487,6895520.00000000000000000000,8C
488,6898670.00000000000000000000,0E
489,6901820.00000000000000000000,3E
490,6901830.00000000000000000000,BC
491,6901840.00000000000000000000,B0
492,6904980.00000000000000000000,73
493,6904990.00000000000000000000,43
494,6908140.00000000000000000000,FE
495,6908150.00000000000000000000,BE
496,6911290.00000000000000000000,BF
497,6911300.00000000000000000000,AD
498,6914450.00000000000000000000,FC
499,6914460.00000000000000000000,D4
500,6917610.00000000000000000000,5F
501,6917620.00000000000000000000,5B
502,6920760.00000000000000000000,CF
503,6920770.00000000000000000000,C6
504,6923920.00000000000000000000,DC
505,6927070.00000000000000000000,DE
506,6927080.00000000000000000000,5E
507,6927090.00000000000000000000,4A
508,6930230.00000000000000000000,D1
509,6930240.00000000000000000000,D9
510,6930250.00000000000000000000,D1
511,6933390.00000000000000000000,76
512,6933400.00000000000000000000,26
513,6936540.00000000000000000000,E6
514,6936550.00000000000000000000,E0
515,6939700.00000000000000000000,ED
516,6942860.00000000000000000000,2D
517,6942870.00000000000000000000,05
518,6946010.00000000000000000000,FF
519,6946020.00000000000000000000,FE
520,6949170.00000000000000000000,7F
521,6949180.00000000000000000000,7B
522,6952320.00000000000000000000,FF
523,6952330.00000000000000000000,CC
524,6955480.00000000000000000000,F1
525,6958640.00000000000000000000,7C
526,6958650.00000000000000000000,3C
527,6961790.00000000000000000000,FF
528,6961800.00000000000000000000,DF
529,6961810.00000000000000000000,D3
530,6964950.00000000000000000000,DE
531,6964960.00000000000000000000,8E
532,6968100.00000000000000000000,BE
533,6971260.00000000000000000000,BF
534,6971270.00000000000000000000,AF
535,6974420.00000000000000000000,ED
536,6977570.00000000000000000000,FD
537,6977580.00000000000000000000,BD
538,6977590.00000000000000000000,91
539,6980730.00000000000000000000,15
540,6980740.00000000000000000000,05
541,6983890.00000000000000000000,B4
542,6983900.00000000000000000000,B0
543,6987040.00000000000000000000,F5
544,6987050.00000000000000000000,55
545,6990200.00000000000000000000,54
546,6990210.00000000000000000000,10
547,6993350.00000000000000000000,70
548,6993360.00000000000000000000,FD
549,6993370.00000000000000000000,ED
550,6996510.00000000000000000000,EF
551,6996520.00000000000000000000,43
552,6999670.00000000000000000000,F5
553,7002830.00000000000000000000,74
554,7002840.00000000000000000000,60
555,7005980.00000000000000000000,85
556,7009140.00000000000000000000,D4
557,7012300.00000000000000000000,94
558,7015450.00000000000000000000,DC
559,7018600.00000000000000000000,FC
560,7018610.00000000000000000000,7C
561,7018620.00000000000000000000,6C
562,7021770.00000000000000000000,68
563,7024920.00000000000000000000,EB
564,7024930.00000000000000000000,8B
565,7028070.00000000000000000000,8F
566,7028080.00000000000000000000,05
567,7031230.00000000000000000000,5B
568,7034390.00000000000000000000,DE
569,7034400.00000000000000000000,86
570,7037540.00000000000000000000,DE
571,7037550.00000000000000000000,58
572,7040700.00000000000000000000,7E
573,7040720.00000000000000000000,36
574,7043850.00000000000000000000,76
575,7043860.00000000000000000000,FC
576,7043870.00000000000000000000,EC
577,7047010.00000000000000000000,FC
578,7047020.00000000000000000000,30
579,7050170.00000000000000000000,FF
580,7050180.00000000000000000000,EF
581,7053330.00000000000000000000,CD
582,7056480.00000000000000000000,F9
583,7056490.00000000000000000000,F8
584,7059640.00000000000000000000,7C
585,7062790.00000000000000000000,FC
586,7062800.00000000000000000000,A4
587,7065950.00000000000000000000,9F
588,7069100.00000000000000000000,DF
589,7069110.00000000000000000000,FE
590,7069120.00000000000000000000,EA
591,7072260.00000000000000000000,CF
592,7072270.00000000000000000000,CD
593,7075420.00000000000000000000,5F
594,7075430.00000000000000000000,57
595,7078580.00000000000000000000,D4
596,7078590.00000000000000000000,D0
597,7081730.00000000000000000000,95
598,7081740.00000000000000000000,85
599,7084890.00000000000000000000,55
600,7084900.00000000000000000000,51
601,7088040.00000000000000000000,B9
602,7091200.00000000000000000000,BD
603,7091210.00000000000000000000,85
604,7094350.00000000000000000000,C5
605,7094360.00000000000000000000,E5
606,7097510.00000000000000000000,F7
607,7097520.00000000000000000000,93
608,7100670.00000000000000000000,B4
609,7103830.00000000000000000000,14
610,7106980.00000000000000000000,17
611,7106990.00000000000000000000,13
612,7110140.00000000000000000000,57
613,7110150.00000000000000000000,47
614,7113290.00000000000000000000,CF
615,7113300.00000000000000000000,CC
616,7116450.00000000000000000000,CE
617,7116460.00000000000000000000,C6
618,7119610.00000000000000000000,44
619,7119620.00000000000000000000,04
620,7122760.00000000000000000000,95
621,7125920.00000000000000000000,FE
622,7125930.00000000000000000000,EA
623,7129080.00000000000000000000,C8
624,7129090.00000000000000000000,C0
625,7132230.00000000000000000000,D9
626,7135390.00000000000000000000,F9
627,7135400.00000000000000000000,B1
628,7138540.00000000000000000000,BB
629,7138550.00000000000000000000,1B
630,7138560.00000000000000000000,0B
631,7141700.00000000000000000000,0C
632,7141710.00000000000000000000,04
633,7144850.00000000000000000000,44
634,7144860.00000000000000000000,F5
635,7144870.00000000000000000000,F1
636,7148020.00000000000000000000,B1
637,7151170.00000000000000000000,31
638,7151180.00000000000000000000,21
639,7154320.00000000000000000000,65
640,7154330.00000000000000000000,6C
641,7154340.00000000000000000000,4C
642,7157480.00000000000000000000,E7
643,7157490.00000000000000000000,A7
644,7160640.00000000000000000000,BE
645,7163790.00000000000000000000,EF
646,7163800.00000000000000000000,ED
647,7166950.00000000000000000000,6F
648,7166960.00000000000000000000,07
649,7170100.00000000000000000000,47
650,7173260.00000000000000000000,F7
651,7173270.00000000000000000000,F4
652,7173280.00000000000000000000,B0
653,7176420.00000000000000000000,33
654,7176430.00000000000000000000,13
655,7179570.00000000000000000000,4F
656,7182730.00000000000000000000,FF
657,7185890.00000000000000000000,7D
658,7185900.00000000000000000000,45
659,7189040.00000000000000000000,75
660,7189060.00000000000000000000,71
661,7192200.00000000000000000000,79
662,7192210.00000000000000000000,39
663,7195350.00000000000000000000,79
664,7195360.00000000000000000000,7B
665,7198520.00000000000000000000,23
666,7201670.00000000000000000000,3B
667,7201680.00000000000000000000,1B
668,7204820.00000000000000000000,7B
669,7207990.00000000000000000000,42
670,7211140.00000000000000000000,C8
671,7214290.00000000000000000000,FC
